Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,12,1172,848,567,69,119,52,205,778,0,2
E:\2022\нно\AntColony\AntColony,12,1172,848,567,69,119,52,205,778,0,2
E:\2022\нно\AntColony\AntColony\Properties,3,140,73,25,4,20,2,47,249,0,2
E:\2022\нно\AntColony\AntColony\obj,0,0,0,0,0,0,0,0,0,0,0
E:\2022\нно\AntColony\AntColony\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
